Well	tau_values	tau_index	GrowthRates	growth_rates_index	saturate_values	saturate_index	saturation_time
I2	1.98e-05	11	70916.37177860655	11	0.8249999999999998	32	5.76e-05
I3	1.98e-05	11	6594.67785312929	16	0.746	32	5.76e-05
I4	1.8e-05	10	87889.79488956099	10	0.8653333333333334	25	4.5e-05
I5	1.98e-05	11	11432.710275846606	12	0.7826666666666666	32	5.76e-05
I6	1.98e-05	11		22	0.7503333333333334	32	5.76e-05
I7	1.98e-05	11	3816.1337227600743	16	0.7166666666666667	32	5.76e-05
I8	1.8e-05	10	1356.6686975287528	12	0.8223333333333334	22	3.96e-05
I9	1.98e-05	11	6892.227193634938	12	0.706	30	5.4e-05
I10	1.98e-05	11	67164.08130254732	11	0.722	32	5.76e-05
I11	1.98e-05	11	6615.106622034199	12	0.7120000000000001	29	5.22e-05
I12	1.98e-05	11		14	0.7440000000000001	24	4.32e-05
I13	1.98e-05	11	3947.390209922282	19	1.0503333333333333	32	5.76e-05
I14	1.98e-05	11	15638.864239491812	12	0.967	31	5.58e-05
I15	2.16e-05	12	4419.3324847751455	17	0.7446666666666667	32	5.76e-05
I16	1.98e-05	11	9018.377892174778	12	0.7946666666666667	32	5.76e-05
I17	1.98e-05	11	80522.78003932195	11	0.8336666666666667	30	5.4e-05
I18	1.98e-05	11	80014.03827107008	11	0.8046666666666668	25	4.5e-05
I19	1.98e-05	11	8654.519488189995	12	0.702	32	5.76e-05
I20	1.98e-05	11	4930.739044497328	15	0.7320000000000001	32	5.76e-05
I21	1.98e-05	11	13026.019771300687	12	0.8289999999999998	32	5.76e-05
I22	1.98e-05	11		14	0.7756666666666666	24	4.32e-05
I23	1.98e-05	11	76770.34611203834	11	0.7613333333333333	32	5.76e-05
I24	1.8e-05	10	17667.87968664937	14	0.8203333333333332	32	5.76e-05
J1	1.8e-05	10	11504.323966010706	11	0.7796666666666666	32	5.76e-05
J2	1.98e-05	11	7146.972430575927	16	0.8583333333333334	32	5.76e-05
J3	1.98e-05	11	6057.795436134092	17	0.7389999999999999	32	5.76e-05
J4	1.8e-05	10	5200.5022369624785	11	0.815	28	5.04e-05
