	Well	tau_values	tau_index	GrowthRates	growth_rates_index	saturate_values	saturate_index	saturation_time
158	G13					0.11566666666666668	47	84600.0
159	G14	12600.0	7.0	5.6933344667953085e-06	20.0	0.8719999999999999	48	86400.0
160	G15	16200.0	9.0	6.627372788436287e-06	18.0	0.8703333333333333	48	86400.0
161	G16	14400.0	8.0	7.5816646400410364e-06	17.0	0.8713333333333333	48	86400.0
162	G17	12600.0	7.0	1.7097224983356573e-05	20.0	1.0453333333333334	34	61200.0
163	G18	12600.0	7.0	9.616630164434581e-06	16.0	0.8833333333333333	47	84600.0
164	G19	14400.0	8.0	1.0674364876427866e-05	14.0	0.818	48	86400.0
165	G20	14400.0	8.0	7.024174124335795e-06	18.0	0.879	48	86400.0
166	G21	10800.0	6.0	2.5976822575597284e-05	12.0	0.9543333333333334	35	63000.0
167	G22	14400.0	8.0	3.699776583567495e-06	18.0	0.8956666666666667	48	86400.0
168	G23	14400.0	8.0	3.465727406737914e-05	10.0	0.7456666666666667	44	79200.0
169	G24	16200.0	9.0	1.752068438324042e-05	19.0	1.0756666666666668	48	86400.0
170	H1	12600.0	7.0	7.877743671901557e-06	17.0	0.9446666666666667	48	86400.0
171	H2	12600.0	7.0	8.473048878352234e-06	19.0	0.8573333333333334	48	86400.0
172	H3	12600.0	7.0	1.026066761382599e-05	17.0	0.8643333333333333	48	86400.0
173	H4	14400.0	8.0	5.0491807169038214e-05	10.0	0.8496666666666667	39	70200.0
174	H5	14400.0	8.0	4.1579631516008625e-05	10.0	0.8983333333333333	48	86400.0
175	H6	14400.0	8.0	4.921905847412372e-05	10.0	0.8193333333333334	48	86400.0
176	H7	14400.0	8.0	3.323246884912196e-05	12.0	1.165333333333333	32	57600.0
177	H8	14400.0	8.0	4.246498301524875e-05	9.0	0.8916666666666666	48	86400.0
178	H9	14400.0	8.0	4.834465240217562e-05	10.0	0.8653333333333334	47	84600.0
179	H10	12600.0	7.0	5.741755094737316e-06	19.0	0.8393333333333333	47	84600.0
180	H11	12600.0	7.0	1.718332575994225e-05	14.0	1.0843333333333334	22	39600.0
181	H12	14400.0	8.0	6.5476970663645665e-06	19.0	0.8756666666666667	48	86400.0
182	H13	23400.0	13.0	3.9753705243047186e-05	17.0	0.7636666666666666	36	64800.0
183	H14					0.09866666666666668	46	82800.0
184	H15	14400.0	8.0	9.588991739335843e-06	17.0	0.7563333333333334	36	64800.0
185	H16	14400.0	8.0	9.245388203035564e-06	16.0	0.8610000000000001	48	86400.0
186	H17	9000.0	5.0	7.892097730066507e-05	11.0	0.911	39	70200.0
187	H18	16200.0	9.0	1.206942869499426e-05	12.0	0.677	34	61200.0
188	H19	12600.0	7.0	1.2620326327548326e-05	15.0	0.876	48	86400.0
189	H20	14400.0	8.0	9.773429403498803e-06	16.0	0.8646666666666666	48	86400.0
190	H21	9000.0	5.0	1.9271107758116638e-05	18.0	0.8543333333333333	48	86400.0
191	H22					0.09166666666666667	46	82800.0
192	H23					0.239	0	0.0
193	H24					0.09166666666666667	35	63000.0
194	I1	14400.0	8.0	1.1118204289230304e-05	19.0	0.959	47	84600.0
195	I2	12600.0	7.0	5.628160832212641e-05	10.0	0.8153333333333332	47	84600.0
196	I3	14400.0	8.0	6.093485673662675e-06	18.0	0.8329999999999999	47	84600.0
197	I4	12600.0	7.0	3.4725585380410185e-05	12.0	0.9456666666666665	24	43200.0
198	I5	14400.0	8.0	4.077848831800506e-05	11.0	0.856	48	86400.0
199	I6	14400.0	8.0	6.116531268595193e-06	19.0	0.8289999999999998	48	86400.0
200	I7	12600.0	7.0	5.818617562025526e-06	16.0	0.7833333333333333	48	86400.0
201	I8	12600.0	7.0	3.069762323685251e-05	12.0	0.9419999999999998	23	41400.0
202	I9	16200.0	9.0	4.731563427366038e-06	19.0	0.7800000000000001	48	86400.0
203	I10	14400.0	8.0	5.069710928317329e-06	20.0	0.8253333333333334	47	84600.0
204	I11	16200.0	9.0	4.890956409782993e-06	14.0	0.5763333333333333	26	46800.0
205	I12	12600.0	7.0	2.3366655384947843e-05	12.0	0.8676666666666667	23	41400.0
206	I13					0.11866666666666666	44	79200.0
207	I14	14400.0	8.0	7.387298762503689e-06	19.0	0.9073333333333333	48	86400.0
208	I15	16200.0	9.0	1.0355578753688603e-05	16.0	0.8706666666666667	46	82800.0
209	I16	16200.0	9.0	5.581756901510801e-06	19.0	0.8423333333333333	48	86400.0
210	I17	10800.0	6.0	4.849837874802926e-05	15.0	0.975	33	59400.0
211	I18	12600.0	7.0	4.353805844733177e-05	10.0	0.8353333333333334	48	86400.0
212	I19	16200.0	9.0	3.909791292211294e-05	10.0	0.7966666666666667	44	79200.0
213	I20	14400.0	8.0	1.9197362923125616e-05	13.0	0.868	48	86400.0
214	I21	10800.0	6.0	2.3165876253359453e-05	13.0	0.923	39	70200.0
215	I22	12600.0	7.0	7.279672598918726e-06	18.0	0.8683333333333333	48	86400.0
216	I23	14400.0	8.0	4.292433410157177e-06	16.0	0.45733333333333337	26	46800.0
